,date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
0,2019-01-01,10,4,0.0,4.9,2,26,03:10 AM,01:23 PM,08:06 AM,04:02 PM,5,5,8,5,17,43,84,0.2,1036,10,10,227,12,london
1,2019-01-02,6,4,0.0,8.0,2,19,04:20 AM,01:50 PM,08:06 AM,04:03 PM,1,2,5,2,13,20,75,0.0,1043,6,10,269,10,london
2,2019-01-03,6,0,0.0,8.0,2,11,05:29 AM,02:22 PM,08:06 AM,04:04 PM,1,2,4,2,7,13,76,0.0,1043,6,10,56,5,london
3,2019-01-04,4,2,0.0,4.9,1,4,06:32 AM,03:00 PM,08:06 AM,04:05 PM,-1,2,3,2,8,46,75,0.0,1042,4,10,277,6,london
4,2019-01-05,6,2,0.0,8.0,2,0,07:29 AM,03:46 PM,08:05 AM,04:06 PM,1,2,4,2,12,26,81,0.0,1039,6,10,298,9,london
5,2019-01-06,7,2,0.0,4.9,2,0,08:18 AM,04:38 PM,08:05 AM,04:07 PM,3,3,5,3,12,77,87,0.1,1037,7,9,294,8,london
6,2019-01-07,10,4,0.0,4.9,2,3,08:59 AM,05:36 PM,08:05 AM,04:09 PM,6,4,7,4,23,73,91,0.1,1033,10,7,263,15,london
7,2019-01-08,8,5,0.0,6.8,2,10,09:34 AM,06:37 PM,08:04 AM,04:10 PM,2,4,7,4,26,31,72,0.0,1028,8,10,321,18,london
8,2019-01-09,6,3,0.0,4.9,1,18,10:02 AM,07:42 PM,08:04 AM,04:11 PM,0,1,4,1,26,43,71,0.1,1029,6,10,346,18,london
9,2019-01-10,5,-2,0.0,3.0,1,25,10:26 AM,08:46 PM,08:03 AM,04:13 PM,1,0,3,0,13,82,82,0.1,1030,5,9,321,9,london
10,2019-01-11,9,5,0.0,4.9,2,32,10:47 AM,09:52 PM,08:03 AM,04:14 PM,5,5,6,5,13,65,90,0.0,1030,9,8,319,9,london
11,2019-01-12,10,5,0.0,3.0,2,39,11:07 AM,10:58 PM,08:02 AM,04:15 PM,5,5,7,5,27,81,84,0.3,1024,10,9,278,18,london
12,2019-01-13,12,9,0.0,3.1,3,47,11:26 AM,No moonset,08:01 AM,04:17 PM,6,7,10,7,37,95,74,0.1,1015,12,10,293,25,london
13,2019-01-14,9,7,0.0,4.9,2,54,11:46 AM,12:05 AM,08:01 AM,04:18 PM,3,5,8,5,23,56,72,0.2,1020,9,10,304,16,london
14,2019-01-15,10,5,0.0,6.8,2,61,12:08 PM,01:15 AM,08:00 AM,04:20 PM,4,5,7,5,20,49,84,0.0,1019,10,10,245,13,london
15,2019-01-16,11,7,0.0,3.2,2,69,12:33 PM,02:27 AM,07:59 AM,04:22 PM,5,6,9,6,30,77,79,0.9,1006,11,10,237,20,london
16,2019-01-17,5,4,0.1,5.1,1,76,01:05 PM,03:42 AM,07:58 AM,04:23 PM,-2,1,5,1,23,50,65,1.3,1010,5,9,311,17,london
17,2019-01-18,6,2,0.0,3.3,1,83,01:45 PM,04:57 AM,07:57 AM,04:25 PM,-3,1,4,1,18,73,61,0.0,1016,6,10,189,12,london
